,frame,x,y,state,interpolation,track
0,1,828.188,318.121,4,,3
1,2,828.076,315.604,4,I,3
2,3,828.085,315.952,4,I,3
3,4,828.077,316.692,4,I,3
4,5,828.041,316.216,4,,3
5,6,827.531,316.081,4,I,3
6,7,826.838,315.961,4,I,3
7,8,826.351,315.878,4,,3
8,9,826.52,315.874,4,I,3
9,10,826.82,315.877,4,I,3
10,11,827.139,315.88,4,I,3
11,12,827.365,315.878,4,,3
12,13,827.488,315.822,4,I,3
13,14,827.654,315.737,4,I,3
14,15,827.825,315.646,4,I,3
15,16,827.966,315.573,4,I,3
16,17,828.041,315.541,4,,3
17,18,827.654,315.834,4,I,3
18,19,827.11,316.244,4,I,3
19,20,826.689,316.554,4,,3
20,21,826.456,316.671,4,I,3
21,22,826.194,316.792,4,I,3
22,23,826.014,316.892,4,,3
23,24,826.064,317.05,4,I,3
24,25,826.161,317.274,4,I,3
25,26,826.266,317.52,4,I,3
26,27,826.342,317.745,4,I,3
27,28,826.351,317.905,4,,3
28,29,825.656,318.03,4,I,3
29,30,824.697,318.174,4,I,3
30,31,823.986,318.243,4,,3
31,32,823.858,317.905,4,I,3
32,33,823.747,317.403,4,I,3
33,34,823.671,316.898,4,I,3
34,35,823.649,316.554,4,,3
35,36,824.069,316.56,4,I,3
36,37,824.641,316.604,4,I,3
37,38,825.0,316.554,4,,3
38,39,824.428,315.712,4,I,3
39,40,823.591,314.538,4,I,3
40,41,822.973,313.514,4,,3
41,42,822.923,311.823,4,I,3
42,43,822.916,309.471,4,I,3
43,44,822.938,307.114,4,I,3
44,45,822.973,305.405,4,,3
45,46,823.269,304.194,4,I,3
46,47,823.7,302.613,4,I,3
47,48,824.106,301.077,4,I,3
48,49,824.324,300.0,4,,3
49,50,823.532,299.722,4,I,3
50,51,822.353,299.435,4,I,3
51,52,821.146,299.177,4,I,3
52,53,820.27,298.986,4,,3
53,54,819.602,298.839,4,I,3
54,55,818.724,298.645,4,I,3
55,56,817.859,298.453,4,I,3
56,57,817.23,298.311,4,,3
