,frame,x,y,state,interpolation,track
0,0,827.628,318.235,4,,0
5,1,828.503,315.172,4,,0
10,2,827.628,315.172,4,,0
15,3,828.36,313.489,4,I,0
20,4,826.297,311.532,4,I,0
25,5,825.441,311.673,4,,0
30,6,824.348,311.236,4,,0
35,7,822.598,310.361,4,,0
40,8,820.214,308.142,4,I,0
45,9,819.878,305.221,4,I,0
50,10,819.098,302.487,4,,0
55,11,817.48,299.94,4,I,0
60,12,814.943,296.363,4,,0
65,13,814.327,294.379,4,I,0
70,14,814.53,293.568,4,I,0
75,15,814.551,293.601,4,I,0
80,16,812.838,292.23,4,,0
85,17,812.838,292.23,4,,0
90,18,812.838,291.887,4,I,0
95,19,812.838,291.924,4,I,0
100,20,812.601,290.405,4,I,0
105,21,810.695,289.936,4,I,0
110,22,811.905,288.146,4,I,0
115,23,811.824,287.838,4,,0
120,24,811.825,287.837,4,I,0
125,25,811.815,287.862,4,I,0
130,26,812.354,286.501,4,I,0
135,27,813.199,285.461,4,I,0
140,28,814.546,283.034,4,I,0
145,29,816.754,281.026,4,I,0
150,30,818.847,280.055,4,I,0
155,31,818.432,280.068,4,I,0
160,32,818.275,280.067,4,I,0
165,33,818.547,280.067,4,I,0
170,34,818.561,280.111,4,I,0
175,35,820.472,276.092,4,I,0
180,36,821.887,270.673,4,I,0
185,37,822.973,263.851,4,,0
190,38,823.845,260.297,4,I,0
195,39,825.976,257.795,4,I,0
200,40,827.811,256.589,4,I,0
205,41,825.338,260.811,7,,0
0,0,665.203,630.743,4,,1
5,1,666.156,629.659,4,I,1
10,2,669.986,635.194,4,I,1
15,3,672.494,635.396,4,I,1
20,4,675.568,636.554,4,I,1
25,5,677.027,634.459,4,,1
30,6,678.716,634.459,4,,1
35,7,678.716,634.459,4,,1
40,8,675.188,640.907,4,I,1
45,9,670.924,650.783,4,I,1
50,10,665.541,662.5,4,,1
55,11,665.589,662.467,4,I,1
60,12,659.61,668.18,4,I,1
65,13,651.27,673.265,4,I,1
70,14,649.992,675.439,4,I,1
75,15,648.884,674.828,4,I,1
80,16,645.933,673.958,4,I,1
85,17,643.215,673.595,4,I,1
90,18,643.195,676.435,4,I,1
95,19,640.786,683.551,4,I,1
100,20,634.739,691.687,4,I,1
105,21,632.633,702.237,4,I,1
110,22,630.855,709.507,4,I,1
115,23,632.77,722.973,4,,1
120,24,633.476,722.962,4,I,1
125,25,632.57,723.208,4,I,1
130,26,630.319,724.647,4,I,1
135,27,627.702,727.703,4,I,1
140,28,625.15,730.713,4,I,1
145,29,619.477,734.675,4,I,1
150,30,618.002,739.71,4,I,1
155,31,615.568,745.395,4,I,1
160,32,611.993,752.925,4,I,1
165,33,609.965,760.16,4,I,1
170,34,610.295,762.073,4,I,1
175,35,611.507,762.501,4,I,1
180,36,610.831,766.138,4,I,1
185,37,610.759,767.831,4,I,1
190,38,614.385,769.063,4,I,1
195,39,616.268,772.027,4,I,1
200,40,616.222,775.281,4,I,1
205,41,615.802,777.249,4,I,1
210,42,614.338,780.222,4,I,1
215,43,610.492,786.457,4,I,1
220,44,612.185,782.617,4,I,1
225,45,612.293,784.487,4,I,1
230,46,608.784,787.162,4,,1
235,47,598.531,797.179,4,I,1
240,48,593.176,799.897,4,I,1
245,49,587.472,804.345,4,I,1
250,50,582.902,810.744,4,I,1
255,51,582.95,812.493,4,I,1
260,52,583.446,810.135,4,,1
265,53,581.081,807.095,7,,1
270,54,598.311,798.649,7,,1
0,0,633.065,541.834,4,,2
5,1,641.019,535.331,4,I,2
10,2,646.281,530.015,4,,2
15,3,646.859,522.663,4,I,2
20,4,644.375,515.565,4,I,2
25,5,641.706,509.66,4,I,2
30,6,638.456,504.12,4,I,2
35,7,628.782,498.28,4,,2
40,8,622.032,492.842,4,I,2
45,9,615.301,486.092,4,I,2
50,10,609.761,481.303,4,I,2
55,11,604.743,479.263,4,I,2
60,12,605.813,476.705,4,I,2
65,13,606.471,475.268,4,I,2
70,14,606.24,474.552,4,,2
75,15,603.688,479.744,4,I,2
80,16,597.488,482.895,4,I,2
85,17,591.34,485.353,4,I,2
90,18,589.038,486.119,4,,2
95,19,582.008,490.488,4,I,2
100,20,579.418,497.82,4,I,2
105,21,573.749,502.763,4,I,2
110,22,568.276,506.288,4,,2
115,23,559.432,511.211,4,I,2
120,24,554.865,515.852,4,I,2
125,25,550.262,520.989,4,I,2
130,26,545.2,526.51,4,I,2
135,27,541.583,530.905,4,,2
140,28,537.134,534.761,7,,2
0,0,828.188,318.121,4,,3
5,1,827.531,316.081,4,I,3
10,2,827.139,315.88,4,I,3
15,3,827.966,315.573,4,I,3
20,4,826.456,316.671,4,I,3
25,5,826.266,317.52,4,I,3
30,6,823.986,318.243,4,,3
35,7,824.069,316.56,4,I,3
40,8,822.973,313.514,4,,3
45,9,823.269,304.194,4,I,3
50,10,822.353,299.435,4,I,3
55,11,817.859,298.453,4,I,3
60,12,815.203,297.635,4,,3
65,13,815.402,294.638,4,I,3
70,14,813.854,293.318,4,I,3
75,15,808.446,294.257,4,,3
80,16,807.114,295.221,4,I,3
85,17,804.815,295.831,4,I,3
90,18,809.192,293.906,4,I,3
95,19,809.054,292.833,4,I,3
100,20,809.797,293.243,4,,3
105,21,809.523,292.219,4,I,3
110,22,806.687,293.301,4,I,3
115,23,808.339,290.706,4,I,3
120,24,806.081,293.243,4,,3
125,25,806.419,293.243,4,,3
130,26,804.054,295.608,4,,3
135,27,803.513,294.603,4,I,3
140,28,805.059,292.923,4,I,3
145,29,805.743,291.554,4,,3
150,30,811.824,282.77,4,,3
155,31,816.093,279.564,4,I,3
160,32,813.427,280.454,4,I,3
165,33,815.203,280.068,4,,3
170,34,817.541,277.401,4,I,3
175,35,817.886,275.502,4,I,3
180,36,817.291,269.373,4,I,3
185,37,817.718,264.697,4,I,3
190,38,819.257,260.135,4,,3
195,39,826.301,255.269,4,I,3
200,40,831.311,254.365,4,I,3
205,41,826.014,260.135,7,,3
0,0,631.748,540.989,4,,4
5,1,637.275,538.003,4,I,4
10,2,642.198,536.359,4,I,4
15,3,645.44,526.847,4,I,4
20,4,643.591,520.161,4,I,4
25,5,639.923,513.718,4,I,4
30,6,634.921,506.136,4,I,4
35,7,627.463,498.718,4,I,4
40,8,618.998,491.847,4,I,4
45,9,612.355,485.883,4,I,4
50,10,605.745,479.665,4,I,4
55,11,603.813,476.222,4,I,4
60,12,603.956,474.098,4,I,4
65,13,605.966,472.632,4,I,4
70,14,607.484,471.208,4,I,4
75,15,605.238,475.234,4,I,4
80,16,597.815,480.963,4,I,4
85,17,589.243,485.274,4,I,4
90,18,583.942,487.592,4,I,4
95,19,581.171,491.072,4,I,4
100,20,577.805,496.924,4,I,4
105,21,574.136,503.412,4,I,4
110,22,567.782,507.727,4,I,4
115,23,561.18,512.709,4,I,4
120,24,555.902,516.109,4,I,4
125,25,550.811,521.776,4,I,4
130,26,544.236,526.688,4,I,4
135,27,537.157,532.533,4,I,4
140,28,536.541,534.464,7,,4
0,0,652.081,625.446,4,,5
5,1,655.594,622.051,4,I,5
10,2,659.679,619.824,4,I,5
15,3,666.36,620.477,4,I,5
20,4,672.292,629.55,4,I,5
25,5,671.615,634.618,4,I,5
30,6,671.195,637.51,4,,5
35,7,668.904,641.252,4,I,5
40,8,666.4,646.253,4,I,5
45,9,664.333,654.755,4,I,5
50,10,656.719,664.792,4,,5
55,11,649.43,670.91,4,I,5
60,12,641.115,673.964,4,I,5
65,13,636.322,673.329,4,I,5
70,14,634.61,670.813,4,I,5
75,15,634.575,668.744,4,I,5
80,16,635.2,669.705,4,I,5
85,17,635.093,673.198,4,I,5
90,18,637.788,679.547,4,,5
95,19,636.583,687.051,4,I,5
100,20,635.007,697.736,4,I,5
105,21,635.134,706.003,4,I,5
110,22,635.434,711.984,4,I,5
115,23,633.257,716.038,4,I,5
120,24,635.147,720.066,4,I,5
125,25,633.952,725.451,4,I,5
130,26,630.564,728.646,4,I,5
135,27,627.89,732.846,4,I,5
140,28,625.261,736.338,4,,5
145,29,622.755,738.565,4,,5
150,30,620.25,742.463,4,,5
155,31,618.301,750.258,4,,5
160,32,617.466,757.774,4,,5
165,33,615.796,761.393,4,,5
170,34,614.144,765.149,4,I,5
175,35,612.151,768.851,4,I,5
180,36,613.838,770.459,4,I,5
185,37,616.159,770.842,4,I,5
190,38,619.144,772.224,4,I,5
195,39,621.823,774.712,4,I,5
200,40,622.384,776.529,4,I,5
205,41,622.185,778.338,4,I,5
210,42,622.892,782.479,4,I,5
215,43,620.715,784.868,4,I,5
220,44,618.313,786.968,4,I,5
225,45,615.93,790.481,4,I,5
230,46,613.847,793.129,4,,5
235,47,608.749,797.509,4,I,5
240,48,603.319,801.296,4,I,5
245,49,598.874,802.584,4,I,5
250,50,596.029,804.648,4,I,5
255,51,593.818,807.682,4,I,5
260,52,591.449,809.538,4,I,5
265,53,593.246,815.679,7,,5
270,54,598.536,798.976,7,,5
0,0,633.557,629.53,4,,6
5,1,627.214,626.331,4,I,6
10,2,620.568,621.65,4,I,6
15,3,617.967,620.199,4,I,6
20,4,615.043,618.317,4,I,6
25,5,611.919,612.966,4,,6
30,6,606.687,610.611,4,,6
35,7,602.534,608.17,4,I,6
40,8,597.844,606.212,4,I,6
45,9,597.407,604.438,4,I,6
50,10,597.644,606.816,4,I,6
55,11,598.062,606.802,4,I,6
60,12,598.144,607.434,4,I,6
65,13,598.712,608.746,4,I,6
70,14,599.356,610.458,4,I,6
75,15,599.838,611.794,4,I,6
80,16,602.632,607.526,4,I,6
85,17,604.016,605.29,4,I,6
90,18,605.674,603.894,4,I,6
95,19,605.384,604.693,4,I,6
100,20,604.757,607.644,4,I,6
105,21,606.244,609.503,4,I,6
110,22,605.995,610.693,4,I,6
115,23,603.66,612.856,4,I,6
120,24,601.514,614.556,4,I,6
125,25,600.535,615.456,4,I,6
130,26,599.3,616.476,4,I,6
135,27,598.878,616.187,4,I,6
140,28,598.577,616.105,4,,6
145,29,597.007,615.843,4,,6
150,30,595.176,617.152,4,,6
155,31,596.746,618.983,4,,6
160,32,600.147,618.721,4,,6
165,33,607.21,616.89,4,,6
170,34,611.619,617.526,4,I,6
175,35,616.741,616.608,4,I,6
180,36,622.127,617.513,4,I,6
185,37,627.408,620.545,4,I,6
190,38,631.326,624.938,4,I,6
195,39,632.09,629.59,4,I,6
200,40,631.408,634.223,4,I,6
205,41,631.176,637.451,4,I,6
210,42,631.101,640.598,4,I,6
215,43,631.981,644.618,4,I,6
220,44,633.377,647.619,4,I,6
225,45,635.997,652.597,4,I,6
230,46,638.941,657.685,4,I,6
235,47,640.569,662.652,4,I,6
240,48,641.796,669.118,4,I,6
245,49,641.449,677.175,4,I,6
250,50,641.587,685.393,4,I,6
255,51,641.083,694.673,4,I,6
260,52,640.735,702.346,4,I,6
265,53,640.701,707.433,4,I,6
270,54,640.253,713.472,4,I,6
275,55,640.019,717.878,4,I,6
280,56,638.808,720.809,4,I,6
285,57,641.43,719.933,4,I,6
290,58,647.761,717.612,4,,6
295,59,652.993,711.333,7,,6
0,0,674.497,565.101,4,,7
5,1,676.507,564.549,4,I,7
10,2,674.767,558.678,4,I,7
15,3,679.429,554.11,4,I,7
20,4,684.245,549.887,4,,7
25,5,688.397,549.887,4,,7
30,6,694.033,549.591,4,,7
35,7,700.746,552.287,4,I,7
40,8,707.546,554.496,4,I,7
45,9,713.085,555.952,4,I,7
50,10,715.793,558.039,4,I,7
55,11,718.039,561.659,4,I,7
60,12,715.139,564.783,4,I,7
65,13,710.269,572.773,4,I,7
70,14,704.482,582.105,4,I,7
75,15,698.797,590.12,4,I,7
80,16,692.352,596.299,4,I,7
85,17,682.555,599.642,4,I,7
90,18,672.222,601.359,4,I,7
95,19,667.347,602.689,4,I,7
100,20,664.205,604.929,4,I,7
105,21,666.318,612.023,4,I,7
110,22,668.644,622.453,4,I,7
115,23,669.078,632.826,4,I,7
120,24,670.898,644.501,4,,7
125,25,668.578,657.056,4,I,7
130,26,665.581,666.025,4,I,7
135,27,660.814,675.969,4,I,7
140,28,665.559,670.601,7,,7
0,0,572.483,573.154,4,,8
5,1,574.318,572.391,4,I,8
10,2,574.633,572.248,4,I,8
15,3,575.137,572.346,4,I,8
20,4,575.911,573.619,4,I,8
25,5,577.351,576.182,4,I,8
30,6,579.643,578.986,4,I,8
35,7,580.069,580.311,4,I,8
40,8,580.368,579.218,4,I,8
45,9,580.962,579.896,4,I,8
50,10,580.688,580.688,4,,8
55,11,581.82,579.43,4,I,8
60,12,581.086,579.471,4,I,8
65,13,581.775,576.854,4,I,8
70,14,580.773,572.366,4,I,8
75,15,580.194,568.471,4,I,8
80,16,579.398,565.211,4,I,8
85,17,577.767,565.903,7,,8
0,0,489.933,451.007,4,,9
5,1,490.182,450.225,4,I,9
10,2,490.23,450.065,4,I,9
15,3,490.283,449.898,4,I,9
20,4,490.35,449.721,4,I,9
25,5,493.209,454.058,4,,9
30,6,492.918,451.569,4,I,9
35,7,492.384,450.896,4,I,9
40,8,491.301,449.941,4,I,9
45,9,490.147,447.059,4,,9
50,10,485.772,462.37,7,,9
0,0,1319.46,525.503,4,,10
5,1,1320.64,526.109,4,,10
10,2,1319.85,526.894,4,,10
15,3,1320.37,529.249,4,,10
20,4,1320.11,532.388,4,,10
25,5,1321.16,533.696,4,,10
30,6,1321.68,534.219,4,,10
35,7,1319.85,536.051,4,,10
40,8,1319.33,539.975,4,,10
45,9,1320.37,543.899,4,,10
50,10,1321.16,544.161,4,,10
55,11,1321.42,546.515,4,,10
60,12,1324.82,547.039,4,,10
65,13,1326.13,548.347,4,,10
70,14,1320.42,548.59,4,I,10
75,15,1315.82,547.517,4,I,10
80,16,1313.64,545.783,4,I,10
85,17,1308.2,542.005,4,I,10
90,18,1302.8,538.047,4,I,10
95,19,1295.0,533.173,4,,10
100,20,1294.21,530.033,4,,10
105,21,1292.12,526.894,4,,10
110,22,1288.46,522.97,4,,10
115,23,1285.32,520.615,4,,10
120,24,1284.79,520.615,4,,10
125,25,1284.27,521.923,4,,10
130,26,1284.04,523.757,4,I,10
135,27,1283.8,524.874,4,I,10
140,28,1282.45,527.928,4,I,10
145,29,1279.53,530.225,4,I,10
150,30,1277.49,532.354,4,I,10
155,31,1275.92,531.016,4,I,10
160,32,1274.71,529.663,4,I,10
165,33,1274.65,527.311,4,I,10
170,34,1275.02,524.517,4,I,10
175,35,1275.29,520.086,4,I,10
180,36,1277.73,515.645,4,,10
185,37,1278.78,510.936,4,,10
190,38,1280.3,507.33,4,I,10
195,39,1281.92,504.77,4,I,10
200,40,1283.56,503.47,4,I,10
205,41,1282.44,505.703,4,,10
210,42,1281.39,507.796,4,,10
215,43,1280.61,514.075,7,,10
0,0,1357.05,220.805,4,,11
5,1,1355.07,219.932,7,,11
0,0,1074.5,251.007,7,,12
0,0,1181.21,1006.71,4,,13
5,1,1182.28,1006.3,4,I,13
10,2,1182.39,1006.21,4,,13
15,3,1182.65,1006.86,4,,13
20,4,1182.0,1006.08,4,,13
25,5,1182.13,1006.34,4,,13
30,6,1182.5,1006.03,4,I,13
35,7,1182.72,1006.34,4,I,13
40,8,1182.78,1006.99,4,,13
45,9,1183.12,1007.0,4,I,13
50,10,1183.26,1006.72,4,I,13
55,11,1183.36,1006.35,4,I,13
60,12,1183.77,1005.78,4,I,13
65,13,1184.8,1004.81,4,I,13
70,14,1186.09,1003.12,4,I,13
75,15,1187.01,1000.84,4,I,13
80,16,1186.67,999.099,4,I,13
85,17,1186.67,998.43,4,,13
90,18,1187.84,997.652,4,,13
95,19,1188.3,996.738,4,I,13
100,20,1188.35,996.603,4,I,13
105,21,1188.83,996.983,4,I,13
110,22,1189.79,997.607,4,I,13
115,23,1191.26,998.015,4,I,13
120,24,1192.3,997.198,4,I,13
125,25,1193.92,995.8,4,I,13
130,26,1195.39,996.356,4,I,13
135,27,1196.92,995.446,4,,13
140,28,1197.02,995.837,4,I,13
145,29,1197.36,994.838,4,I,13
150,30,1195.76,993.241,4,,13
155,31,1194.95,988.26,4,I,13
160,32,1194.85,984.03,4,,13
165,33,1197.18,977.932,4,,13
170,34,1198.09,977.468,4,I,13
175,35,1198.61,977.154,4,,13
180,36,1199.78,976.116,4,,13
185,37,1201.63,974.749,4,I,13
190,38,1203.67,971.446,4,,13
195,39,1206.26,968.202,4,,13
200,40,1208.19,965.492,4,I,13
205,41,1210.1,961.708,4,I,13
210,42,1212.23,959.732,4,I,13
215,43,1211.8,959.307,4,I,13
220,44,1207.32,958.844,4,I,13
225,45,1205.94,955.271,4,I,13
230,46,1204.86,952.971,4,I,13
235,47,1200.57,951.786,4,,13
240,48,1201.35,952.176,7,,13
0,0,1320.13,785.235,4,,14
5,1,1320.69,785.614,4,I,14
10,2,1321.83,785.946,4,I,14
15,3,1322.95,786.194,4,,14
20,4,1323.67,786.34,4,I,14
25,5,1324.94,786.363,4,I,14
30,6,1326.44,786.273,4,I,14
35,7,1329.23,787.197,4,I,14
40,8,1335.68,793.473,4,I,14
45,9,1337.08,797.66,4,,14
50,10,1337.2,803.452,4,I,14
55,11,1337.79,806.332,4,I,14
60,12,1339.9,807.952,4,I,14
65,13,1343.3,809.582,4,I,14
70,14,1342.28,810.514,4,I,14
75,15,1338.22,811.401,4,I,14
80,16,1332.4,812.491,4,I,14
85,17,1328.59,814.088,4,I,14
90,18,1326.43,813.514,4,I,14
95,19,1324.69,812.654,4,I,14
100,20,1322.56,811.588,4,I,14
105,21,1319.95,810.428,4,I,14
110,22,1316.14,808.794,4,,14
115,23,1311.3,806.79,4,I,14
120,24,1306.19,803.288,4,I,14
125,25,1297.71,795.053,4,I,14
130,26,1291.38,789.019,7,,14
0,0,632.886,802.685,4,,15
5,1,633.177,801.688,4,I,15
10,2,633.554,801.792,4,I,15
15,3,633.974,802.371,4,I,15
20,4,633.097,802.405,4,I,15
25,5,633.108,802.703,4,,15
30,6,634.305,803.0,4,I,15
35,7,633.6,803.038,4,I,15
40,8,633.672,803.293,4,I,15
45,9,634.134,802.527,4,I,15
50,10,634.084,802.05,4,I,15
55,11,633.43,803.01,4,I,15
60,12,633.568,803.847,4,I,15
65,13,634.459,804.73,4,,15
70,14,634.464,803.846,4,I,15
75,15,634.16,803.165,4,I,15
80,16,635.258,801.037,4,I,15
85,17,636.188,800.437,4,I,15
90,18,636.832,799.654,4,I,15
95,19,637.159,799.19,4,I,15
100,20,637.4,799.26,4,I,15
105,21,639.189,796.284,4,,15
110,22,642.905,795.608,4,,15
115,23,642.612,792.365,4,I,15
120,24,642.811,789.337,4,I,15
125,25,642.474,783.971,4,I,15
130,26,642.88,779.535,4,I,15
135,27,644.338,776.169,4,I,15
140,28,646.531,772.407,4,I,15
145,29,648.726,769.412,4,I,15
150,30,648.828,768.373,4,I,15
155,31,647.635,766.892,4,,15
160,32,646.622,764.527,4,,15
165,33,647.81,762.738,4,I,15
170,34,647.741,762.741,4,I,15
175,35,648.311,766.892,7,,15
0,0,656.376,857.047,4,,16
5,1,657.695,856.324,4,I,16
10,2,657.907,856.408,4,I,16
15,3,657.936,855.839,4,I,16
20,4,658.189,855.675,4,I,16
25,5,658.416,854.109,4,I,16
30,6,657.247,855.406,7,,16
0,0,715.436,940.268,4,,17
5,1,716.961,939.903,4,I,17
10,2,713.869,936.964,4,I,17
15,3,711.148,934.861,4,I,17
20,4,710.649,930.425,4,,17
25,5,715.202,930.839,4,,17
30,6,711.891,930.425,4,,17
35,7,709.298,926.068,4,I,17
40,8,706.113,920.64,4,I,17
45,9,701.71,918.976,4,I,17
50,10,701.125,918.205,4,I,17
55,11,706.097,915.939,4,,17
60,12,713.457,913.026,4,I,17
65,13,723.395,908.194,4,I,17
70,14,728.613,906.348,4,I,17
75,15,732.62,906.222,4,I,17
80,16,736.901,908.144,4,I,17
85,17,740.036,910.972,4,,17
90,18,742.105,912.628,4,,17
95,19,742.519,915.111,4,,17
100,20,743.11,919.546,4,I,17
105,21,745.441,924.052,4,I,17
110,22,746.335,927.767,4,I,17
115,23,748.666,929.991,4,I,17
120,24,752.004,934.224,4,I,17
125,25,756.002,941.613,4,I,17
130,26,757.881,948.128,4,I,17
135,27,759.396,956.106,4,I,17
140,28,762.837,959.825,4,I,17
145,29,766.442,961.543,4,I,17
150,30,767.352,963.536,4,,17
155,31,776.044,961.881,4,,17
160,32,782.005,959.349,4,I,17
165,33,788.269,956.517,4,I,17
170,34,795.08,953.846,4,I,17
175,35,803.295,950.241,4,I,17
180,36,810.325,948.93,4,I,17
185,37,814.122,947.808,4,,17
190,38,815.529,945.804,4,I,17
195,39,820.125,943.266,4,I,17
200,40,824.745,939.955,4,I,17
205,41,827.396,936.936,4,I,17
210,42,830.885,932.075,4,I,17
215,43,834.347,927.418,4,I,17
220,44,836.406,925.764,4,I,17
225,45,838.809,927.935,4,I,17
230,46,833.575,945.325,7,,17
0,0,703.356,1000.0,4,,18
5,1,708.108,998.311,4,,18
10,2,708.675,995.994,4,I,18
15,3,706.517,993.654,4,I,18
20,4,705.488,994.264,4,I,18
25,5,706.581,994.25,4,I,18
30,6,707.311,994.858,4,I,18
35,7,701.519,992.724,4,I,18
40,8,699.78,988.813,4,I,18
45,9,698.857,988.203,4,I,18
50,10,698.388,989.838,4,I,18
55,11,696.482,989.518,4,I,18
60,12,693.319,984.652,4,I,18
65,13,687.754,979.733,4,I,18
70,14,685.556,975.436,4,I,18
75,15,684.408,970.959,4,I,18
80,16,681.492,966.559,4,I,18
85,17,678.104,964.661,4,I,18
90,18,672.909,962.777,4,I,18
95,19,666.325,962.225,4,I,18
100,20,658.072,959.276,4,I,18
105,21,650.509,959.241,4,I,18
110,22,642.404,961.788,4,I,18
115,23,635.1,967.995,4,I,18
120,24,631.243,976.277,4,I,18
125,25,628.272,983.429,4,I,18
130,26,625.696,986.463,4,I,18
135,27,623.254,990.459,4,I,18
140,28,622.909,989.917,7,,18
0,0,711.409,993.289,4,,19
5,1,712.364,987.511,4,,19
10,2,713.336,989.25,4,I,19
15,3,712.145,988.386,4,,19
20,4,711.979,989.379,4,I,19
25,5,711.621,989.427,4,I,19
30,6,713.458,989.698,4,,19
35,7,715.864,989.698,4,,19
40,8,713.02,992.323,4,,19
45,9,709.302,992.323,4,,19
50,10,710.348,992.789,4,I,19
55,11,714.784,991.43,4,I,19
60,12,719.724,985.798,4,I,19
65,13,723.665,986.146,4,I,19
70,14,728.665,989.712,4,I,19
75,15,731.786,997.427,4,I,19
80,16,735.802,1007.38,4,I,19
85,17,741.108,1015.31,4,I,19
90,18,737.632,1023.85,4,,19
95,19,733.781,1032.58,4,I,19
0,0,769.799,1018.79,4,,20
5,1,768.55,1019.25,4,I,20
