,frame,y,x,track,color,channel_0,channel_1,channel_2
0,0,14.507215,16.840973,0,5,5.985087672759943,2.1222924599218738,6.176631273806366
1,1,13.767176,17.153599,0,5,5.875612746947716,2.265905588350195,6.755686493227984
2,2,15.238294,17.260283,0,5,5.84288183346882,1.9542956762892307,6.074975902837115
3,3,15.949868,16.977068,0,5,5.463968547353572,1.7991991422389724,6.27172627746999
4,4,16.031887,16.631456,0,5,6.228011987819617,1.8922144017782148,6.042618493486152
5,5,16.282875,17.638844,0,5,5.538210652639775,2.4475139039213354,6.191265496498508
6,6,16.87774,17.752916,0,5,5.5705297899001955,2.454967814191912,6.082565229006157
7,7,16.483015,17.191488,0,5,5.517688598500621,2.1707633735838594,5.843538867956454
8,8,15.627541,17.583279,0,5,5.223461791017822,2.107880150893568,5.513416224139413
9,9,15.481628,16.846746,0,5,6.543100230053513,1.3870366901320073,6.216641218569443
10,10,15.765292,16.987106,0,5,5.9044567540646185,1.9985254681594202,4.575845196512731
11,11,16.055588,17.154728,0,5,6.0206592809287525,3.012757195137321,6.147893816133234
12,12,16.279657,19.002747,0,5,5.566456775948898,1.3505832967397793,7.0030496045951205
13,13,16.439592,18.574806,0,5,6.144101643160078,3.08000297316397,6.2540628444454605
14,14,17.457876,17.68639,0,5,6.347769830996451,1.9120107616273847,5.18012954155154
15,15,18.253155,17.603132,0,5,6.305468394007148,2.0506492591119536,6.568572667394244
16,16,18.206469,17.007513,0,5,5.480187610945626,2.0262244928179025,6.097065830323474
17,17,18.71566,16.885921,0,5,6.01796573555942,1.4120913853353083,6.483212258457678
18,18,18.877977,16.63624,0,5,5.737645297593181,1.653853626558893,4.729881460965371
19,19,19.4262,15.607281,0,5,5.9725611429851675,2.1596351322387215,6.212551220461306
20,20,19.127789,15.739197,0,5,6.188526160463134,1.7375332398370658,5.030709018668918
21,21,19.305162,15.570267,0,5,5.587768048928782,2.045232887703469,7.385934930943313
22,22,19.224375,15.658555,0,5,6.5846123061796895,1.3255416631664945,5.994928937563063
23,23,19.02222,15.363353,0,5,5.9155246547527325,1.738532217919283,5.431042820821238
24,24,18.354582,15.443539,0,5,5.738438308332468,1.9239271457865268,6.9185384921888895
25,25,19.453579,15.3117285,0,5,6.206356332599689,1.731731974729449,6.092951614053036
26,26,19.23897,15.629883,0,5,5.628943018129941,2.4899505303961518,6.531859098177276
27,27,19.344873,16.245785,0,5,5.858640514797474,2.1194097837365007,6.117024677359548
28,28,19.785265,16.276854,0,5,5.622067149275315,2.0006593061354607,5.538590699886138
29,29,19.87352,16.955126,0,5,7.121001694563489,2.3056979612587343,6.8993577724283135
30,30,19.408115,16.540487,0,5,6.249953904579906,1.7295070266264698,5.555530591376796
31,31,19.151562,16.85745,0,5,5.689718210782804,2.506820851651189,5.362731109353226
32,32,18.778673,17.238085,0,5,5.511475579236971,1.4715958255870296,6.050107187233185
33,33,18.72542,17.436062,0,5,6.433297700955005,1.8395882573305513,7.351410929785571
34,34,18.098135,17.254179,0,5,6.734716366024987,1.9087037963464586,4.945499541906947
35,35,18.393179,17.223743,0,5,5.3404544112161965,0.9316368530363579,6.866594503644294
