,frame,y,x,track,color,channel_0,channel_1,channel_2
0,0,14.507215,16.840973,0,4,1.6887956628077747,2.65813052593221,5.950255888473352
1,1,14.664744,17.464844,0,4,2.0869895056214762,2.7670421455691843,5.457720301346089
2,2,13.767176,17.153599,0,4,1.3433738770603623,1.7543483353440503,5.815181939082144
3,3,15.052181,17.102001,0,4,1.8069009850617228,1.5926679279858966,6.281158687298051
4,4,15.238294,17.260283,0,4,1.836493571957353,1.798872047766157,6.996664939711901
5,5,15.537991,17.57174,0,4,1.7167665239119287,2.162595063960623,6.269962280479396
6,6,15.949868,16.977068,0,4,2.7665300496536025,1.8445535375408582,5.6981147197193955
7,7,15.922705,17.026178,0,4,2.1834257746544448,1.320995521503868,5.502537320657193
8,8,16.031887,16.631456,0,4,2.231117106482871,2.897997258290131,5.640807544526795
9,9,16.312208,17.285673,0,4,1.7117868720020195,1.136506748787923,6.3126575914418765
10,10,16.282875,17.638844,0,4,2.2237510271605125,1.129645452155557,5.27830528148592
11,11,16.48498,18.002748,0,4,2.121575205187858,2.100958444254853,5.677270055449771
12,12,16.87774,17.752916,0,4,1.6331963965754703,2.3170366052932474,7.243775533250819
13,13,16.565788,17.445713,0,4,1.8971810355006362,1.9110487491001282,6.533516519824749
14,14,16.483015,17.191488,0,4,0.602641495882603,2.4420847148322236,5.350694929655483
15,15,16.25036,17.031933,0,4,1.593237715280841,2.5443165222377644,6.624768425630146
16,16,15.627541,17.583279,0,4,1.7693048411677783,1.3895914271665153,6.1354050501226425
17,17,15.839767,17.461315,0,4,1.9961393389336641,1.078378236226595,6.179422829350242
18,18,15.481628,16.846746,0,4,1.9416764549545926,2.1382672978464266,5.3530401717422205
19,19,15.595815,17.287245,0,4,0.9976217784612544,2.3760813427969114,5.675679262907005
100,0,15.311605,8.965649,1,0,1.6118825212635017,2.4019234436562074,1.40283677128406
101,1,15.304522,9.27123,1,0,1.9398666819773518,1.8781753076502163,2.3527214435601373
102,2,15.930858,9.139037,1,0,2.6161635128354783,1.4069658579201767,1.9199548459220732
103,3,15.75188,9.063779,1,0,2.380901088558451,1.4439091512284956,1.84590122980964
104,4,15.018183,9.176936,1,0,1.6800786905484562,2.221391085822517,2.323269056039305
105,5,15.722035,9.407434,1,0,2.0861270808344337,1.2473053293163028,2.107413761638172
106,6,15.746904,9.341451,1,0,1.7726572269002716,2.6755289968008658,1.9117820896398405
107,7,15.175147,9.294879,1,0,2.4552809204004142,1.6738710098225749,1.7186231721879515
108,8,15.505798,8.825878,1,0,2.5256293568280688,1.6346926929695962,1.8093593011973628
109,9,15.353076,9.298656,1,0,1.3689000875746937,2.0744252890217445,2.3591200487838826
110,10,15.377398,9.462604,1,0,2.7950059283690134,2.7019356642020362,1.831653155949202
111,11,16.051155,9.224683,1,0,1.95704893859418,1.8150669315382877,3.1208664140801163
112,12,15.901178,8.894209,1,0,0.6321370935248467,1.8097311591766028,1.5935180949469323
113,13,15.969545,9.207107,1,0,1.8420357728147634,1.2078372810964801,1.8395557237885665
114,14,16.31901,9.722672,1,0,2.889342061996784,1.9416703580565575,1.8928343731083435
115,15,16.308666,9.427513,1,0,2.4763133222760034,2.354676631736488,1.306246229554938
116,16,16.567495,9.806415,1,0,2.7443732289993554,2.070655699571034,1.2370522583874444
117,17,16.777937,10.379952,1,0,1.671986987713515,2.7694317484781,3.3395622357984163
118,18,16.89902,10.737679,1,0,1.614700083336334,2.4727486752540178,2.0646278350769647
119,19,16.594643,10.726526,1,0,2.1686278652627142,2.2546387912231074,2.560210591463771
200,0,11.942441,11.325508,8,1,5.065012971076751,2.195042165087431,3.537740095778373
201,1,12.755797,11.863317,8,1,5.608428693448754,1.7166832945170207,1.8642094672524805
202,2,12.630795,11.562708,8,1,6.101809040289929,2.7680214717118434,1.1598949303229178
203,3,12.19628,12.230217,8,1,5.312099156958161,1.8985960083863573,1.3440355255817757
204,4,11.766207,11.843134,8,1,6.154224451177092,1.4698117541763873,2.153700937779195
205,5,12.053212,11.969844,8,1,6.279565715737132,1.7973975146047536,1.9212120055577797
206,6,12.305944,11.750278,8,1,6.454703249818558,2.532938408209842,1.800060123453316
207,7,12.430302,12.342462,8,1,5.759065730345453,1.5190496870186596,1.990313536134227
208,8,12.416869,12.880256,8,1,6.312144813643358,2.437967208875361,2.405886649778686
209,9,11.970125,12.297246,8,1,5.362336489829213,1.3541961139687633,2.1764166291379206
210,10,12.215638,12.521695,8,1,6.097322457879868,1.2736424405188598,2.0451197694185446
211,11,12.704287,12.822222,8,1,6.58453482743317,1.7477600867857963,1.7701786507065975
212,12,12.254965,12.747221,8,1,5.383298993584701,2.035886149781007,2.0858603069217403
213,13,12.006874,13.2096405,8,1,5.900338562260703,0.8909538743421352,1.6382299235468996
214,14,12.263965,13.239903,8,1,5.8160856792642806,1.8613101526222975,1.5611953255367461
215,15,12.422505,13.145191,8,1,5.770846405570153,2.19017865236656,1.897248774552119
216,16,12.883644,13.21169,8,1,5.938894880366022,1.4316813514976348,1.5960199904312167
217,17,12.496693,13.025354,8,1,6.229863186584471,1.5754064412843423,2.1341086232234248
218,18,12.57926,12.951561,8,1,6.426293985095363,1.7532114715873206,1.8058648290516348
219,19,12.327734,12.800299,8,1,5.754988823071711,1.661896457426643,3.545074806541036
300,0,17.495846,11.1471615,9,5,5.769743864733038,1.9862183379997036,6.213016956318988
301,1,17.171543,11.198047,9,5,6.326828323768671,2.4716351141526354,6.2876045592455165
302,2,16.979565,10.985954,9,5,5.8104234534198,1.97629220909124,5.964658640182335
303,3,16.352613,11.1455965,9,5,5.374006576605019,2.0413692178260465,5.596610468866691
304,4,16.71873,11.037267,9,5,5.703643315369014,1.5761019346546725,5.611845074087029
305,5,16.754353,11.260993,9,5,6.244253337764104,2.051932797572378,5.653466495254937
