t,y,x,track_id,track_id2
0,14.507215,16.840973,0-0,0
1,14.516121,17.296318,0-0,0
2,14.5804405,17.461914,0-0,0
3,14.828621,17.62064,0-0,0
4,14.664744,17.464844,0-0,0
5,14.366864,17.085157,0-0,0
6,13.821804,17.136301,0-0,0
7,13.851828,17.157106,0-0,0
8,13.767176,17.153599,0-0,0
9,14.250819,16.72444,0-0,0
10,14.673901,16.593401,0-0,0
11,14.938792,16.93212,0-0,0
12,15.052181,17.102001,0-0,0
13,15.085106,16.732347,0-0,0
14,15.2798195,16.942396,0-0,0
15,15.344169,17.08444,0-0,0
16,15.238294,17.260283,0-0,0
17,15.288683,17.118753,0-0,0
18,15.538334,17.155228,0-0,0
19,15.365747,17.221157,0-0,0
20,15.537991,17.57174,0-0,0
21,15.657237,17.112152,0-0,0
22,15.808702,17.102123,0-0,0
23,15.841109,17.077715,0-0,0
24,15.949868,16.977068,0-0,0
25,15.991362,17.164944,0-0,0
26,15.793693,17.321774,0-0,0
27,15.92476,17.064405,0-0,0
28,15.922705,17.026178,0-0,0
29,15.754592,16.752092,0-0,0
30,15.909134,16.631657,0-0,0
31,16.078466,16.171347,0-0,0
32,16.031887,16.631456,0-0,0
33,16.000656,16.782488,0-0,0
34,16.234707,17.08273,0-0,0
35,16.25004,17.217,0-0,0
36,16.312208,17.285673,0-0,0
37,16.151312,17.574755,0-0,0
38,16.38534,17.557322,0-0,0
39,16.185522,17.409178,0-0,0
40,16.282875,17.638844,0-0,0
41,16.405066,17.71984,0-0,0
42,16.367926,17.736935,0-0,0
43,16.565432,17.86099,0-0,0
44,16.48498,18.002748,0-0,0
45,16.327044,18.161814,0-0,0
46,16.621237,18.018717,0-0,0
47,16.58454,18.045109,0-0,0
48,16.87774,17.752916,0-0,0
49,17.060143,18.012003,0-0,0
50,16.889929,17.602049,0-0,0
51,16.728035,17.591812,0-0,0
52,16.565788,17.445713,0-0,0
53,16.322317,17.499594,0-0,0
54,16.52086,17.429222,0-0,0
55,16.529917,17.422653,0-0,0
56,16.483015,17.191488,0-0,0
57,16.445463,17.025518,0-0,0
58,16.751493,16.886497,0-0,0
59,16.597221,17.00715,0-0,0
60,16.25036,17.031933,0-0,0
61,16.220358,17.27196,0-0,0
62,16.13951,17.730923,0-0,0
63,16.0479,17.90054,0-0,0
64,15.627541,17.583279,0-0,0
65,15.733271,17.839369,0-0,0
66,15.652649,17.579004,0-0,0
67,15.714647,17.540108,0-0,0
68,15.839767,17.461315,0-0,0
69,15.69371,17.2835,0-0,0
70,15.699556,17.25341,0-0,0
71,15.561294,16.937029,0-0,0
72,15.481628,16.846746,0-0,0
73,15.626912,17.004744,0-0,0
74,15.569059,17.077448,0-0,0
75,15.475397,17.126038,0-0,0
76,15.595815,17.287245,0-0,0
77,15.640262,17.179834,0-0,0
78,15.531389,17.327787,0-0,0
79,15.566618,17.130327,0-0,0
80,15.765292,16.987106,0-0,0
81,16.112215,17.14671,0-0,0
82,16.223259,17.257631,0-0,0
83,15.855716,17.448977,0-0,0
84,15.604271,17.555033,0-0,0
85,16.02586,17.24936,0-0,0
86,16.116417,17.486069,0-0,0
87,16.00715,17.387754,0-0,0
88,16.055588,17.154728,0-0,0
89,16.320597,17.150677,0-0,0
90,16.023682,17.199755,0-0,0
91,16.4173,17.56635,0-0,0
92,16.373981,17.825918,0-0,0
93,16.001724,17.959196,0-0,0
94,16.073523,18.247309,0-0,0
95,15.898634,18.522955,0-0,0
96,16.279657,19.002747,0-0,0
97,16.65229,19.063189,0-0,0
98,16.683777,18.932865,0-0,0
99,16.710066,18.812569,0-0,0
0,15.311605,8.965649,1-0,1
1,15.078115,9.027543,1-0,1
2,15.103481,9.03484,1-0,1
3,15.438275,9.174104,1-0,1
4,15.304522,9.27123,1-0,1
5,15.320942,9.089471,1-0,1
6,15.518239,8.730728,1-0,1
7,15.44676,9.008464,1-0,1
8,15.930858,9.139037,1-0,1
9,15.858347,9.072754,1-0,1
10,15.633559,9.340692,1-0,1
11,15.454567,9.077899,1-0,1
12,15.75188,9.063779,1-0,1
13,15.719972,9.247409,1-0,1
14,15.324787,9.208819,1-0,1
15,15.146058,9.1877775,1-0,1
16,15.018183,9.176936,1-0,1
17,15.230778,9.069621,1-0,1
18,15.400242,9.284453,1-0,1
19,15.473153,9.63237,1-0,1
20,15.722035,9.407434,1-0,1
21,15.840095,9.359782,1-0,1
22,16.109018,9.528702,1-0,1
23,15.913012,9.418167,1-0,1
24,15.746904,9.341451,1-0,1
25,15.642406,9.377961,1-0,1
26,15.501944,9.45117,1-0,1
27,15.304361,9.5281,1-0,1
28,15.175147,9.294879,1-0,1
29,15.074828,9.298936,1-0,1
30,15.609295,8.978687,1-0,1
31,15.660042,8.755163,1-0,1
32,15.505798,8.825878,1-0,1
33,15.373528,8.912646,1-0,1
34,15.355761,8.992293,1-0,1
35,15.345193,9.083061,1-0,1
36,15.353076,9.298656,1-0,1
37,15.47431,9.510831,1-0,1
38,15.282711,9.553301,1-0,1
39,15.32711,9.411459,1-0,1
40,15.377398,9.462604,1-0,1
41,15.525222,9.026719,1-0,1
42,15.827076,9.1764555,1-0,1
43,16.089542,9.516455,1-0,1
44,16.051155,9.224683,1-0,1
45,16.277636,9.492438,1-0,1
46,15.797496,9.2531,1-0,1
47,15.622122,8.740671,1-0,1
48,15.901178,8.894209,1-0,1
49,15.801579,8.600694,1-0,1
50,15.914107,8.812519,1-0,1
51,16.052826,8.949507,1-0,1
52,15.969545,9.207107,1-0,1
53,16.095257,9.529028,1-0,1
54,16.12077,9.5679655,1-0,1
55,16.258043,9.617514,1-0,1
56,16.31901,9.722672,1-0,1
57,16.33243,9.678827,1-0,1
58,16.273102,9.844378,1-0,1
59,16.355627,9.304434,1-0,1
60,16.308666,9.427513,1-0,1
61,16.348753,9.549633,1-0,1
62,16.179836,9.745718,1-0,1
63,16.260378,9.704525,1-0,1
64,16.567495,9.806415,1-0,1
65,16.329082,9.947318,1-0,1
66,16.43186,10.336491,1-0,1
67,16.443365,10.42545,1-0,1
68,16.777937,10.379952,1-0,1
69,16.50722,10.810793,1-0,1
70,16.411604,10.900361,1-0,1
71,16.155441,10.958268,1-0,1
72,16.89902,10.737679,1-0,1
73,16.775675,10.798415,1-0,1
74,16.613735,10.723,1-0,1
75,16.766891,10.8362665,1-0,1
76,16.594643,10.726526,1-0,1
77,16.396645,10.4359045,1-0,1
78,16.825253,10.663905,1-0,1
79,17.147812,10.55356,1-0,1
80,16.579697,10.424162,1-0,1
81,16.57212,10.306632,1-0,1
82,16.181532,10.615096,1-0,1
83,16.18438,10.072551,1-0,1
84,15.91708,10.2466545,1-0,1
85,15.815329,10.435919,1-0,1
86,15.580652,10.118132,1-0,1
87,15.602142,10.272921,1-0,1
88,15.729285,10.017035,1-0,1
89,15.430283,9.950642,1-0,1
90,15.553456,9.794449,1-0,1
91,15.41186,9.836356,1-0,1
92,15.078592,10.123524,1-0,1
93,14.85307,10.068936,1-0,1
94,15.316953,10.057218,1-0,1
95,15.386001,9.665295,1-0,1
96,15.165428,9.244762,1-0,1
97,14.947203,9.324652,1-0,1
98,14.97513,9.497892,1-0,1
99,14.91271,9.88844,1-0,1
0,11.942441,11.325508,2-0,2
1,11.989124,11.486414,2-0,2
2,12.291246,11.708625,2-0,2
3,12.909389,11.94964,2-0,2
4,12.755797,11.863317,2-0,2
5,12.556293,11.713688,2-0,2
6,12.362063,11.837826,2-0,2
